sku,store,categories,attribute_set,type,color,size,name,simples_skus,configurable_attributes,description,short_description,special_price,qty,is_in_stock,manage_stock,status,visibility,tax_class_id,thumbnail,thumbnail_label,image,small_image,media_gallery,min_qty,min_sale_qty,max_sale_qty,notify_stock_qty,msrp_enabled,country_of_manufacture,meta_description,meta_keyword,meta_title,upc,ipc,division_code,class,class_description,collection,collection_description,selling_period,type_group,type_name,type_description,group,country_of_origin,package,length,width,height,weight,is_gift_card,product_code,composition,manufacturer,rn_number,hts_code,visual_stock_id,cost,price,msrp,stock_code,product_category,safety_qty,at_sell
WR2568,fr,Femmes/Women's/Asics Apparels/Core,Default,configurable,,,F.D�bardeur,"887749768022,887749768039,887749768046,887749768053,887749768060","color,size",<p>F.D�bardeur</p>,F.D�bardeur,,7,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_13867.jpg,WR2568_8121_FT,http://app.visual-2000.com/imageapi/asicserp8_13867.jpg,http://app.visual-2000.com/imageapi/asicserp3_13867.jpg,http://app.visual-2000.com/imageapi/asicserp8_13867.jpg::WR2568_8121_FT,0,1,0,1,1,,<p>F.D�bardeur</p>,,W.Tank,,,HOUSE,Clothing Only,Clothing Only,Core,Core,Spring 2015,D,Pour Femmes,Pour Femmes,2A030201,,Unite,0,0,0,0,0,WR2568,,,,,5,0,15,29.99,WEB,REG,0,7
WR2569,fr,Femmes/Women's/Asics Apparels/Core,Default,configurable,,,F.Haut Manche Courte,"887749768329,887749768336,887749768343,887749768367,887749862836,887749862843,887749862850,887749862867,887749862874","color,size",<p>F.Haut Manche Courte</p>,F.Haut Manche Courte,,36,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_13870.jpg,WR2569_8121_FT,http://app.visual-2000.com/imageapi/asicserp8_13870.jpg,http://app.visual-2000.com/imageapi/asicserp3_13870.jpg,http://app.visual-2000.com/imageapi/asicserp8_13870.jpg::WR2569_8121_FT,0,1,0,1,1,,<p>F.Haut Manche Courte</p>,,W.Short Sleeve Top,,,HOUSE,Clothing Only,Clothing Only,Core,Core,Spring 2015,D,Pour Femmes,Pour Femmes,2A030201,,Unite,0,0,0,0,0,WR2569,,,,,5,0,15,29.99,WEB,REG,0,36
WT2641,fr,Femmes/Women's/Asics Apparels/Jackets,Default,configurable,,,F Manteau Storm Shelter,"887749860238,887749860245,887749860252,887749860269,887749860276","color,size",<p>F Manteau Storm Shelter</p>,F Manteau Storm Shelter,,7,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11616.jpg,wt2641_8123_0000000000_q_f_primary,http://app.visual-2000.com/imageapi/asicserp8_11616.jpg,http://app.visual-2000.com/imageapi/asicserp3_11616.jpg,http://app.visual-2000.com/imageapi/asicserp8_11616.jpg::wt2641_8123_0000000000_q_f_primary,0,1,0,1,1,,<p>F Manteau Storm Shelter</p>,,W Storm Shelter Jacket,,,HOUSE,Clothing Only,Clothing Only,Jackets,Jackets,Fall 2015,D,Pour Femmes,Pour Femmes,2A030203,,Unite,0,0,0,0,0,WT2641,,,,,5,0,85,169.99,WEB,REG,0,7
WF2554,fr,Femmes/Women's/Asics Apparels/Running,Default,configurable,,,F.Capri Pr,"887749767773,887749767780,887749767797,887749767803,887749767810,887749767872,887749767889,887749767896,887749767902,887749767919","color,size",<p>F.Capri Pr</p>,F.Capri Pr,,26,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_10700.jpg,wf2554_94_0000000000_q_f_primary,http://app.visual-2000.com/imageapi/asicserp8_10700.jpg,http://app.visual-2000.com/imageapi/asicserp3_10700.jpg,http://app.visual-2000.com/imageapi/asicserp8_10700.jpg::wf2554_94_0000000000_q_f_primary,0,1,0,1,1,,<p>F.Capri Pr</p>,,W.Pr Capri,,,HOUSE,Clothing Only,Clothing Only,Running,Running,Spring 2015,D,Pour Femmes,Pour Femmes,2A030201,,Unite,0,0,0,0,0,WF2554,,,,,5,0,30,59.99,WEB,REG,0,26
WS2798,fr,Femmes/Women's/Asics Apparels/Running,Default,configurable,,,F.Short Everysport,"889436224750,889436224767,889436224781","color,size",<p>F.Short Everysport</p>,F.Short Everysport,,4,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_13905.jpg,WS2798_6262_FT,http://app.visual-2000.com/imageapi/asicserp8_13905.jpg,http://app.visual-2000.com/imageapi/asicserp3_13905.jpg,http://app.visual-2000.com/imageapi/asicserp8_13905.jpg::WS2798_6262_FT,0,1,0,1,1,,<p>F.Short Everysport</p>,,W.Everysport Short,,,HOUSE,Clothing Only,Clothing Only,Running,Running,Spring 2016,D,Pour Femmes,Pour Femmes,2A030201,,Unite,0,0,0,0,0,WS2798,,,,,5,0,25,49.99,WEB,REG,0,4
124683,fr,Femmes/Women's/Asics Apparels/Sport Performance Aeb,Default,configurable,,,F Blouson Matelass�,"889436051813,889436051820,889436051837,889436051844,889436051851","color,size",<p>F Blouson Matelass�</p>,F Blouson Matelass�,,17,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11426.jpg,124683_0904_q_front_primary,http://app.visual-2000.com/imageapi/asicserp8_11426.jpg,http://app.visual-2000.com/imageapi/asicserp3_11426.jpg,http://app.visual-2000.com/imageapi/asicserp8_11426.jpg::124683_0904_q_front_primary,0,1,0,1,1,,<p>F Blouson Matelass�</p>,,W Medium Fill Jacket,,,HOUSE,Clothing Only,Clothing Only,Sport Performance Aeb,Sport Performance Aeb,Fall 2015,D,Pour Femmes,Pour Femmes,2A030203,,Unite,0,0,0,0,0,124683,,,,,5,0,75,149.99,WEB,REG,0,17
113976,fr,Femmes/Women's/Asics Apparels/Sport Performance Aeb,Default,configurable,,,F Capuchon Tricot,"889436051561,889436051578,889436051585,889436051592,889436051608,889436051615,889436051622,889436051639,889436051646,889436051653,889436051660,889436051677,889436051684,889436051691,889436051707","color,size",<p>F Capuchon Tricot</p>,F Capuchon Tricot,,70,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11402.jpg,113976_0998_q_front_primary,http://app.visual-2000.com/imageapi/asicserp8_11402.jpg,http://app.visual-2000.com/imageapi/asicserp3_11402.jpg,http://app.visual-2000.com/imageapi/asicserp8_11402.jpg::113976_0998_q_front_primary,0,1,0,1,1,,<p>F Capuchon Tricot</p>,,W Knit Hoodie,,,HOUSE,Clothing Only,Clothing Only,Sport Performance Aeb,Sport Performance Aeb,Fall 2015,D,Pour Femmes,Pour Femmes,2A030201,,Unite,0,0,0,0,0,113976,,,,,5,0,35,69.99,WEB,REG,0,70
124684,fr,Femmes/Women's/Asics Apparels/Sport Performance Aeb,Default,configurable,,,F Manteau Mi Long Matelass�,"889436051868,889436051875,889436051882,889436051899,889436051905,889436051912,889436051929,889436051936,889436051943,889436051950","color,size",<p>F Manteau Mi Long Matelass�</p>,F Manteau Mi Long Matelass�,,34,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11427.jpg,124684_0291_q_front_primary,http://app.visual-2000.com/imageapi/asicserp8_11427.jpg,http://app.visual-2000.com/imageapi/asicserp3_11427.jpg,http://app.visual-2000.com/imageapi/asicserp8_11427.jpg::124684_0291_q_front_primary,0,1,0,1,1,,<p>F Manteau Mi Long Matelass�</p>,,W Down Jacket,,,HOUSE,Clothing Only,Clothing Only,Sport Performance Aeb,Sport Performance Aeb,Fall 2015,D,Pour Femmes,Pour Femmes,2A030203,,Unite,0,0,0,0,0,124684,,,,,5,0,90,179.99,WEB,REG,0,34
126297,fr,Femmes/Women's/Asics Apparels/Sport Performance Aeb,Default,configurable,,,F Pantalon ? Revers Graphique,"889436051714,889436051721,889436051738,889436051745,889436051752,889436051769,889436051776,889436051783,889436051790,889436051806","color,size",<p>F Pantalon ? Revers Graphique</p>,F Pantalon ? Revers Graphique,,26,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_11535.jpg,126297_0714_f,http://app.visual-2000.com/imageapi/asicserp8_11535.jpg,http://app.visual-2000.com/imageapi/asicserp3_11535.jpg,http://app.visual-2000.com/imageapi/asicserp8_11535.jpg::126297_0714_f,0,1,0,1,1,,<p>F Pantalon ? Revers Graphique</p>,,W Graphic Cuffed Pant,,,HOUSE,Clothing Only,Clothing Only,Sport Performance Aeb,Sport Performance Aeb,Fall 2015,D,Pour Femmes,Pour Femmes,2A030201,,Unite,0,0,0,0,0,126297,,,,,5,0,30,59.99,WEB,REG,0,26
WU2785,fr,Femmes/Women's/Asics Apparels/Underwear,Default,configurable,,,F. Boxeur Gar�on Asx,"889436225979,889436225986,889436249319,889436249326,889436249333","color,size",<p>F. Boxeur Gar�on Asx</p>,F. Boxeur Gar�on Asx,,14,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12507.jpg,wu2785_0847_f,http://app.visual-2000.com/imageapi/asicserp8_12507.jpg,http://app.visual-2000.com/imageapi/asicserp3_12507.jpg,http://app.visual-2000.com/imageapi/asicserp8_12507.jpg::wu2785_0847_f,0,1,0,1,1,,<p>F. Boxeur Gar�on Asx</p>,,W.Asx Boy Brief,,,HOUSE,Clothing Only,Clothing Only,Underwear,Underwear,Spring 2016,D,Pour Femmes,Pour Femmes,2A030402,,Unite,0,0,0,0,0,WU2785,,,,,5,0,15,29.99,WEB,REG,0,14
WU2784,fr,Femmes/Women's/Asics Apparels/Underwear,Default,configurable,,,F.Slip Bikini Asx,"889436225917,889436225924","color,size",<p>F.Slip Bikini Asx</p>,F.Slip Bikini Asx,,6,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_13229.jpg,WU2784_1612_f,http://app.visual-2000.com/imageapi/asicserp8_13229.jpg,http://app.visual-2000.com/imageapi/asicserp3_13229.jpg,http://app.visual-2000.com/imageapi/asicserp8_13229.jpg::WU2784_1612_f,0,1,0,1,1,,<p>F.Slip Bikini Asx</p>,,W.Asx Bikini,,,HOUSE,Clothing Only,Clothing Only,Underwear,Underwear,Spring 2016,D,Pour Femmes,Pour Femmes,2A030402,,Unite,0,0,0,0,0,WU2784,,,,,5,0,15,29.99,WEB,REG,0,6
BT936,fr,Femmes/Women's/Asics Apparels/Volleyball,Default,configurable,,,F.Short 4 Po.,"883722568856,883722568863,883722568887,883722568894,883722568900","color,size",<p>F.Short 4 Po.</p>,F.Short 4 Po.,,10,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_5555.jpg,bt936_63[1],http://app.visual-2000.com/imageapi/asicserp8_5555.jpg,http://app.visual-2000.com/imageapi/asicserp3_5555.jpg,http://app.visual-2000.com/imageapi/asicserp8_5555.jpg::bt936_63[1],0,1,0,1,1,,<p>F.Short 4 Po.</p>,,W.4 In. Short,,,HOUSE,Clothing Only,Clothing Only,Volleyball,Volleyball,Fall 2009,D,Pour Femmes,Pour Femmes,2A080201,,Unite,0,0,0,0,0,BT936,,,,,5,0,15,29.99,WEB,REG,0,10
T583N,fr,Femmes/Women's/Asics Shoes/33 Collection,Default,configurable,,,L.33-Fa,"887749734713,887749734737,887749734768,887749734775,887749734782,887749734799,887749734805,887749734812,887749734829,887749734836,887749734843,887749734850,887749735017,887749735062,887749735079,887749735093,887749735123,887749735130,887749735147,887749735154,887749969511,887749969580,887749969597,887749969603,887749969610,887749969627,887749969634,887749969641,887749969658","color,size",<p>L.33-Fa</p>,L.33-Fa,,172,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12076.jpg,t583n_9620_f,http://app.visual-2000.com/imageapi/asicserp8_12076.jpg,http://app.visual-2000.com/imageapi/asicserp3_12076.jpg,http://app.visual-2000.com/imageapi/asicserp8_12076.jpg::t583n_9620_f,0,1,0,1,1,,<p>L.33-Fa</p>,,L.33-Fa,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,33 Collection,33 Collection,Spring 2015,D,Pour Femmes,Pour Femmes,1A030202,,Unite,0,0,0,0,0,T583N,,,,,5,0,71.5,129.99,WEB,REG,0,172
E463Y,fr,Femmes/Women's/Asics Shoes/Court,Default,configurable,,,L. Gel Blast 6,"887749487541,887749487558,887749487619,887749487626,887749487633,887749487640,887749487657,887749487664,887749487671,887749487688","color,size",<p>L. Gel Blast 6</p>,L. Gel Blast 6,,20,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_9090.jpg,e463y_4193_f_d_althalf2,http://app.visual-2000.com/imageapi/asicserp8_9090.jpg,http://app.visual-2000.com/imageapi/asicserp3_9090.jpg,http://app.visual-2000.com/imageapi/asicserp8_9090.jpg::e463y_4193_f_d_althalf2,0,1,0,1,1,,<p>L. Gel Blast 6</p>,,L. Gel Blast 6,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Court,Court,Fall 2014,D,Pour Femmes,Pour Femmes,1A100201,,Unite,0,0,0,0,0,E463Y,,,,,5,0,88,159.99,WEB,REG,0,20
T6F8Y,fr,Femmes/Women's/Asics Shoes/Cushioning,Default,configurable,,,L. Dynaflyte,"889436410917,889436410924,889436410931,889436410986,889436410993,889436411006,889436411013,889436411020,889436411037,889436411044,889436411051,889436411068,889436411075,889436411082,889436411167,889436411174,889436411181,889436411198,889436411204,889436411211,889436411228,889436411235,889436411280,889436411297,889436411303,889436411310,889436411327,889436411334,889436411341,889436411358","color,size",<p>L. Dynaflyte</p>,L. Dynaflyte,,75,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12841.jpg,T6F8Y_9606_f,http://app.visual-2000.com/imageapi/asicserp8_12841.jpg,http://app.visual-2000.com/imageapi/asicserp3_12841.jpg,http://app.visual-2000.com/imageapi/asicserp8_12841.jpg::T6F8Y_9606_f,0,1,0,1,1,,<p>L. Dynaflyte</p>,,L. Dynaflyte,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Cushioning,Cushioning,Fall 2016,D,Pour Femmes,Pour Femmes,1A03020102,,Unite,0,0,0,0,0,T6F8Y,,,,,5,0,99,179.99,WEB,REG,0,75
T664N,fr,Femmes/Women's/Asics Shoes/Cushioning,Default,configurable,,,L. Gel Flux 3,"889436156815,889436156877,889436156884,889436156921,889436156938,889436156952,889436156969","color,size",<p>L. Gel Flux 3</p>,L. Gel Flux 3,,12,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12889.jpg,T664N_4901_f,http://app.visual-2000.com/imageapi/asicserp8_12889.jpg,http://app.visual-2000.com/imageapi/asicserp3_12889.jpg,http://app.visual-2000.com/imageapi/asicserp8_12889.jpg::T664N_4901_f,0,1,0,1,1,,<p>L. Gel Flux 3</p>,,L. Gel Flux 3,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Cushioning,Cushioning,Spring 2016,D,Pour Femmes,Pour Femmes,1A03020102,,Unite,0,0,0,0,0,T664N,,,,,5,0,71.5,129.99,WEB,REG,0,12
T694N,fr,Femmes/Women's/Asics Shoes/Cushioning,Default,configurable,,,L. Gel Kinsei 6,"889436239518,889436239600,889436239617,889436239624,889436239631,889436239648,889436239655,889436239662,889436239679","color,size",<p>L. Gel Kinsei 6</p>,L. Gel Kinsei 6,,17,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12901.jpg,T694N_3901_f,http://app.visual-2000.com/imageapi/asicserp8_12901.jpg,http://app.visual-2000.com/imageapi/asicserp3_12901.jpg,http://app.visual-2000.com/imageapi/asicserp8_12901.jpg::T694N_3901_f,0,1,0,1,1,,<p>L. Gel Kinsei 6</p>,,L. Gel Kinsei 6,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Cushioning,Cushioning,Spring 2016,D,Pour Femmes,Pour Femmes,1A03020102,,Unite,0,0,0,0,0,T694N,,,,,5,0,143,259.99,WEB,REG,0,17
T650N,fr,Femmes/Women's/Asics Shoes/Cushioning,Default,configurable,,,L. Gel Nimbus 18,"889436154767,889436154774,889436154781,889436154859,889436154866,889436154873,889436154880,889436154897,889436154903,889436154910,889436154927,889436154934,889436154941,889436154958,889436155009,889436155016,889436155023,889436155030,889436155047,889436155054,889436155061,889436155078,889436155085,889436155092,889436155276,889436155283,889436155290,889436155344,889436155368,889436155375,889436155382,889436155399,889436155405,889436155412,889436155429,889436155436,889436155443,889436155450,889436155467,889436155535,889436155542,889436155559,889436155566,889436155573,889436155580,889436155597,889436155603,889436254498,889436254504,889436254511,889436254580,889436254597,889436254603,889436254610,889436254627,889436254634,889436254641,889436254658,889436395764,889436395771,889436395788,889436395856,889436395863,889436395870,889436395887,889436395894,889436395900,889436395917,889436395924","color,size",<p>L. Gel Nimbus 18</p>,L. Gel Nimbus 18,,267,1,1,1,4,2,http://app.visual-2000.com/imageapi/asics_thumb_12199.jpg,t650n_0735_f,http://app.visual-2000.com/imageapi/asicserp8_12199.jpg,http://app.visual-2000.com/imageapi/asicserp3_12199.jpg,http://app.visual-2000.com/imageapi/asicserp8_12199.jpg::t650n_0735_f,0,1,0,1,1,,<p>L. Gel Nimbus 18</p>,,L. Gel Nimbus 18,,,HOUSE,Tout Style Asics Chaussures,Tout Style Asics Chaussures,Cushioning,Cushioning,Spring 2016,D,Pour Femmes,Pour Femmes,1A03020102,,Unite,0,0,0,0,0,T650N,,,,,5,0,110,199.99,WEB,REG,0,267
